fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_class
2.128231705849268,0.7,0.0,1.0647107369924282,0.07325046173959267,2.4849066497880004,3.5553480614894135,0.9978,3.51,0.44468582126144574,9.4,5,Média (5-6)
2.174751721484161,0.88,0.0,1.2809338454620642,0.09349034308733889,3.258096538021482,4.219507705176107,0.9968,3.2,0.5187937934151676,9.8,5,Média (5-6)
2.174751721484161,0.76,0.04,1.1939224684724346,0.0880108773227133,2.772588722239781,4.007333185232471,0.997,3.26,0.5007752879124893,9.8,5,Média (5-6)
2.501435951739211,0.28,0.56,1.0647107369924282,0.07232066157962612,2.8903717578961645,4.110873864173311,0.998,3.16,0.4574248470388754,9.8,6,Média (5-6)
2.128231705849268,0.66,0.0,1.0296194171811583,0.07232066157962612,2.6390573296152584,3.713572066704308,0.9978,3.51,0.44468582126144574,9.4,5,Média (5-6)
2.186051276738094,0.6,0.06,0.9555114450274363,0.06672363204290818,2.772588722239781,4.0943445622221,0.9964,3.3,0.3784364357202451,9.4,5,Média (5-6)
2.1162555148025524,0.65,0.0,0.7884573603642702,0.06297479916138844,2.772588722239781,3.091042453358316,0.9946,3.39,0.3852624007906449,10.0,7,Alta (7-8)
2.174751721484161,0.58,0.02,1.0986122886681098,0.07045846364856141,2.302585092994046,2.9444389791664403,0.9968,3.36,0.4510756193602167,9.5,7,Alta (7-8)
2.0412203288596382,0.58,0.08,1.0296194171811583,0.0925791812930931,2.772588722239781,4.189654742026425,0.9959,3.28,0.43178241642553783,9.2,5,Média (5-6)
1.8870696490323797,0.615,0.0,0.9555114450274363,0.08525984395082342,2.833213344056216,4.0943445622221,0.9943,3.58,0.41871033485818504,9.9,5,Média (5-6)
2.174751721484161,0.61,0.29,0.9555114450274363,0.10795714150509228,2.302585092994046,3.4011973816621555,0.9974,3.26,0.9400072584914712,9.1,5,Média (5-6)
2.2512917986064953,0.28,0.56,1.0296194171811583,0.0880108773227133,3.58351893845611,4.6443908991413725,0.9969,3.3,0.5596157879354227,10.5,7,Alta (7-8)
2.186051276738094,0.32,0.51,1.0296194171811583,0.2934156042995415,2.8903717578961645,4.04305126783455,0.9969,3.04,0.7323678937132266,9.2,6,Média (5-6)
2.151762203259462,0.39,0.31,1.1939224684724346,0.0788111804242897,3.1780538303479458,4.276666119016055,0.9982,3.52,0.5007752879124893,9.7,5,Média (5-6)
2.186051276738094,0.43,0.21,0.9555114450274363,0.10074990310014305,2.3978952727983707,3.6375861597263857,0.9966,3.17,0.6471032420585385,9.5,5,Média (5-6)
2.2512917986064953,0.49,0.11,1.1939224684724346,0.08065790301745447,2.302585092994046,4.219507705176107,0.9968,3.17,0.4252677354043441,9.4,5,Média (5-6)
2.066862759472976,0.4,0.14,1.2237754316221157,0.08157998699242287,3.091042453358316,3.713572066704308,0.9968,3.43,0.48858001481867097,9.7,6,Média (5-6)
1.9878743481543455,0.39,0.16,0.8754687373538999,0.07696104113612832,2.4849066497880004,3.1780538303479458,0.9955,3.34,0.44468582126144574,9.3,5,Média (5-6)
2.151762203259462,0.41,0.24,1.0296194171811583,0.07696104113612832,1.6094379124341003,2.4849066497880004,0.9962,3.28,0.4637340162321401,9.5,5,Média (5-6)
2.0918640616783932,0.71,0.0,1.0647107369924282,0.07696104113612832,2.70805020110221,3.58351893845611,0.9972,3.47,0.4382549309311553,9.4,5,Média (5-6)
2.174751721484161,0.645,0.0,1.0986122886681098,0.0788111804242897,2.1972245773362196,2.833213344056216,0.9964,3.38,0.4637340162321401,9.8,6,Média (5-6)
2.0412203288596382,0.675,0.07,1.2237754316221157,0.08525984395082342,2.8903717578961645,4.418840607796598,0.9958,3.35,0.43178241642553783,10.1,5,Média (5-6)
2.2300144001592104,0.655,0.12,1.1939224684724346,0.07973496801885356,2.772588722239781,4.736198448394496,0.9966,3.17,0.5068176023684519,9.8,5,Média (5-6)
1.824549292051046,0.32,0.25,1.0296194171811583,0.09803374027136541,2.6390573296152584,3.9318256327243257,0.9957,3.38,0.4382549309311553,9.2,5,Média (5-6)
2.174751721484161,0.645,0.0,1.8718021769015913,0.08250122151174369,1.791759469228055,2.9444389791664403,0.9986,3.4,0.4382549309311553,9.6,6,Média (5-6)
2.174751721484161,0.6,0.14,1.2237754316221157,0.08250122151174369,1.3862943611198906,2.772588722239781,0.9975,3.42,0.4700036292457355,10.8,6,Média (5-6)
2.2082744135228043,0.38,0.28,1.1314021114911006,0.0639133257436528,2.6390573296152584,3.4339872044851463,0.9968,3.23,0.5481214085096876,9.7,7,Alta (7-8)
2.1162555148025524,0.45,0.36,1.9315214116032138,0.07138999608667294,2.5649493574615367,4.477336814478207,0.9978,3.33,0.6043159668533296,10.5,5,Média (5-6)
2.2823823856765264,0.61,0.3,1.33500106673234,0.08434114843375087,2.8903717578961645,3.8501476017100584,0.9976,3.26,0.412109650826833,9.3,4,Baixa (3-4)
2.1400661634962708,0.49,0.2,1.2809338454620642,0.2866815721181974,2.1972245773362196,2.70805020110221,0.9968,3.21,0.6418538861723948,10.5,6,Média (5-6)
2.2082744135228043,0.66,0.22,1.1631508098056809,0.06672363204290818,2.302585092994046,3.1780538303479458,0.9968,3.3,0.7884573603642702,10.3,5,Média (5-6)
1.7227665977411035,0.52,0.15,1.1314021114911006,0.05259245011917058,2.1972245773362196,4.189654742026425,0.9934,3.9,0.44468582126144574,13.1,4,Baixa (3-4)
2.1633230256605382,0.935,0.43,1.1631508098056809,0.10795714150509228,3.1354942159291497,4.74493212836325,0.997,3.25,0.5481214085096876,9.2,5,Média (5-6)
2.2823823856765264,0.66,0.26,0.9932517730102833,0.07138999608667294,1.6094379124341003,3.1780538303479458,0.9971,3.15,0.5538851132264376,9.2,5,Média (5-6)
2.028148247292285,0.52,0.04,1.1631508098056809,0.06672363204290818,2.1972245773362196,2.772588722239781,0.9956,3.4,0.48858001481867097,9.4,6,Média (5-6)
2.028148247292285,0.5,0.04,1.1314021114911006,0.0657877405380031,1.9459101490553132,2.70805020110221,0.9955,3.39,0.49469624183610705,9.4,6,Média (5-6)
2.2617630984737906,0.38,0.36,1.3862943611198906,0.07788653865707122,3.4339872044851463,4.787491742782046,0.997,3.2,0.44468582126144574,9.4,5,Média (5-6)
2.151762203259462,0.51,0.15,1.33500106673234,0.10436001532424277,3.5263605246161616,4.30406509320417,0.9955,3.17,0.48858001481867097,10.2,6,Média (5-6)
2.4159137783010487,0.42,0.57,1.4816045409242156,0.06765864847381481,1.6094379124341003,2.3978952727983707,0.9971,3.04,0.48858001481867097,9.6,5,Média (5-6)
2.174751721484161,0.59,0.18,1.1939224684724346,0.07325046173959267,2.8903717578961645,4.007333185232471,0.9975,3.43,0.4637340162321401,10.0,5,Média (5-6)
2.1162555148025524,0.39,0.31,1.2237754316221157,0.07138999608667294,2.302585092994046,3.8501476017100584,0.9962,3.41,0.43178241642553783,9.4,6,Média (5-6)
2.2823823856765264,0.4,0.4,1.1631508098056809,0.0760346862759976,2.995732273553991,3.970291913552122,0.998,3.44,0.49469624183610705,9.2,5,Média (5-6)
2.1633230256605382,0.69,0.49,1.0296194171811583,0.10885440491208209,3.044522437723423,4.727387818712341,0.9968,3.21,0.5364933705145685,9.3,5,Média (5-6)
2.0794415416798357,0.735,0.05,1.0986122886681098,0.07788653865707122,2.6390573296152584,4.007333185232471,0.9966,3.39,0.4510756193602167,9.8,5,Média (5-6)
2.1041341542702074,0.725,0.05,1.7316555451583497,0.08250122151174369,1.6094379124341003,2.4849066497880004,0.9962,3.41,0.3293037471426004,10.9,5,Média (5-6)
2.028148247292285,0.705,0.07,0.9555114450274363,0.07325046173959267,1.9459101490553132,2.772588722239781,0.9962,3.44,0.4574248470388754,10.7,5,Média (5-6)
2.1972245773362196,0.705,0.05,1.0647107369924282,0.07138999608667294,2.1972245773362196,2.995732273553991,0.9962,3.34,0.6678293725756554,10.5,6,Média (5-6)
2.1633230256605382,0.69,0.22,1.0647107369924282,0.08065790301745447,2.9444389791664403,4.553876891600541,0.9961,3.31,0.3920420877760237,9.5,5,Média (5-6)
2.2300144001592104,0.675,0.26,1.1314021114911006,0.08065790301745447,2.4849066497880004,3.784189633918261,0.9976,3.31,0.4252677354043441,9.2,4,Baixa (3-4)
2.2823823856765264,0.41,0.64,1.1631508098056809,0.08892620919440151,2.302585092994046,3.7612001156935624,0.9986,3.54,0.5068176023684519,10.5,5,Média (5-6)
2.0541237336955462,0.785,0.0,1.2237754316221157,0.09893994785490356,2.70805020110221,3.4339872044851463,0.9966,3.52,0.4382549309311553,10.7,6,Média (5-6)
2.0412203288596382,0.75,0.12,1.0986122886681098,0.08250122151174369,2.5649493574615367,4.394449154672439,0.9958,3.38,0.41871033485818504,10.1,5,Média (5-6)
2.2300144001592104,0.625,0.2,0.9162907318741551,0.07696104113612832,3.332204510175204,4.787491742782046,0.9972,3.16,0.7514160886839212,9.1,4,Baixa (3-4)
1.9740810260220096,0.45,0.2,0.9555114450274363,0.06672363204290818,1.3862943611198906,2.772588722239781,0.9958,3.41,0.44468582126144574,9.2,5,Média (5-6)
2.128231705849268,0.5,0.47,1.0986122886681098,0.08250122151174369,3.091042453358316,4.30406509320417,0.997,3.36,0.4510756193602167,9.1,5,Média (5-6)
1.9878743481543455,0.3,0.48,1.0296194171811583,0.06672363204290818,2.9444389791664403,4.127134385045092,0.9959,3.44,0.5766133643039938,10.3,6,Média (5-6)
2.066862759472976,0.55,0.15,1.1631508098056809,0.07325046173959267,2.995732273553991,3.713572066704308,0.9961,3.41,0.4637340162321401,10.1,5,Média (5-6)
2.2617630984737906,0.49,0.28,1.0647107369924282,0.10436001532424277,3.044522437723423,4.919980925828125,0.9972,2.93,1.0818051703517284,9.9,6,Média (5-6)
2.1633230256605382,0.49,0.26,1.0647107369924282,0.06015392281974709,2.302585092994046,3.4657359027997265,0.9966,3.39,0.49469624183610705,9.6,5,Média (5-6)
2.33214389523559,0.39,0.44,1.1314021114911006,0.10165365372649983,3.5553480614894135,4.836281906951478,0.9978,3.14,0.7975071958841881,9.5,5,Média (5-6)
2.0794415416798357,0.62,0.08,1.0296194171811583,0.07325046173959267,2.1972245773362196,3.2188758248682006,0.9978,3.48,0.4252677354043441,9.0,5,Média (5-6)
2.186051276738094,0.52,0.26,1.0647107369924282,0.0760346862759976,3.7612001156935624,4.948759890378168,0.9964,3.23,0.43178241642553783,9.5,5,Média (5-6)
