fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_class
2.128231705849268,0.7,0.0,1.0647107369924282,0.0732504617395926,2.4849066497880004,3.5553480614894135,0.9978,3.51,0.4446858212614457,9.4,5,Média (5-6)
2.174751721484161,0.88,0.0,1.2809338454620642,0.0934903430873388,3.258096538021482,4.219507705176107,0.9968,3.2,0.5187937934151676,9.8,5,Média (5-6)
2.174751721484161,0.76,0.04,1.1939224684724346,0.0880108773227133,2.772588722239781,4.007333185232471,0.997,3.26,0.5007752879124893,9.8,5,Média (5-6)
2.501435951739211,0.28,0.56,1.0647107369924282,0.0723206615796261,2.8903717578961645,4.110873864173311,0.998,3.16,0.4574248470388754,9.8,6,Média (5-6)
2.186051276738094,0.6,0.06,0.9555114450274363,0.0667236320429081,2.772588722239781,4.0943445622221,0.9964,3.3,0.3784364357202451,9.4,5,Média (5-6)
2.1162555148025524,0.65,0.0,0.7884573603642702,0.0629747991613884,2.772588722239781,3.091042453358316,0.9946,3.39,0.3852624007906449,10.0,7,Alta (7-8)
2.174751721484161,0.58,0.02,1.0986122886681098,0.0704584636485614,2.302585092994046,2.9444389791664403,0.9968,3.36,0.4510756193602167,9.5,7,Alta (7-8)
2.0412203288596382,0.58,0.08,1.0296194171811583,0.0925791812930931,2.772588722239781,4.189654742026425,0.9959,3.28,0.4317824164255378,9.2,5,Média (5-6)
2.174751721484161,0.61,0.29,0.9555114450274363,0.1079571415050922,2.302585092994046,3.4011973816621555,0.9974,3.26,0.669188231258693,9.1,5,Média (5-6)
2.151762203259462,0.39,0.31,1.1939224684724346,0.0788111804242897,3.1780538303479458,4.276666119016055,0.9982,3.52,0.5007752879124893,9.7,5,Média (5-6)
2.186051276738094,0.43,0.21,0.9555114450274363,0.100749903100143,2.3978952727983707,3.6375861597263857,0.9966,3.17,0.6471032420585385,9.5,5,Média (5-6)
2.2512917986064953,0.49,0.11,1.1939224684724346,0.0806579030174544,2.302585092994046,4.219507705176107,0.9968,3.17,0.4252677354043441,9.4,5,Média (5-6)
2.066862759472976,0.4,0.14,1.2237754316221157,0.0815799869924228,3.091042453358316,3.713572066704308,0.9968,3.43,0.4885800148186709,9.7,6,Média (5-6)
1.9878743481543455,0.39,0.16,0.8754687373538999,0.0769610411361283,2.4849066497880004,3.1780538303479458,0.9955,3.34,0.4446858212614457,9.3,5,Média (5-6)
2.151762203259462,0.41,0.24,1.0296194171811583,0.0769610411361283,1.6094379124341005,2.4849066497880004,0.9962,3.28,0.4637340162321401,9.5,5,Média (5-6)
2.0918640616783932,0.71,0.0,1.0647107369924282,0.0769610411361283,2.70805020110221,3.58351893845611,0.9972,3.47,0.4382549309311553,9.4,5,Média (5-6)
2.174751721484161,0.645,0.0,1.0986122886681098,0.0788111804242897,2.1972245773362196,2.833213344056216,0.9964,3.38,0.4637340162321401,9.8,6,Média (5-6)
2.0412203288596382,0.675,0.07,1.2237754316221157,0.0852598439508234,2.8903717578961645,4.418840607796598,0.9958,3.35,0.4317824164255378,10.1,5,Média (5-6)
2.2300144001592104,0.655,0.12,1.1939224684724346,0.0797349680188535,2.772588722239781,4.736198448394496,0.9966,3.17,0.5068176023684519,9.8,5,Média (5-6)
1.824549292051046,0.32,0.25,1.0296194171811583,0.0980337402713654,2.6390573296152584,3.9318256327243257,0.9957,3.38,0.4382549309311553,9.2,5,Média (5-6)
